Index       TIME             V(IN_1)           V(IN_2)           V(IN_3)          V(OUT_1)          V(OUT_2)          V(OUT_3)          I(VROW_1)         I(VROW_2)         I(VROW_3)        I(RLOAD_1)        I(RLOAD_2)        I(RLOAD_3)    
22       2.00503125e-06    9.93750000e-02    0.00000000e+00    9.93750000e-02    9.44928685e-02    9.44629278e-03    5.98644578e-04   -5.70988222e-06    9.65983849e-07   -5.70988222e-06    9.44928685e-06    9.44629278e-07    5.98644578e-08
23       2.00506250e-06    9.87500000e-02    0.00000000e+00    9.87500000e-02    9.38985737e-02    9.38688213e-03    5.94879518e-04   -5.67397101e-06    9.59908478e-07   -5.67397101e-06    9.38985737e-06    9.38688213e-07    5.94879518e-08
24       2.00512500e-06    9.75000000e-02    0.00000000e+00    9.75000000e-02    9.27099842e-02    9.26806084e-03    5.87349398e-04   -5.60214859e-06    9.47757738e-07   -5.60214859e-06    9.27099842e-06    9.26806084e-07    5.87349398e-08
25       2.00525000e-06    9.50000000e-02    0.00000000e+00    9.50000000e-02    9.03328051e-02    9.03041825e-03    5.72289157e-04   -5.45850375e-06    9.23456258e-07   -5.45850375e-06    9.03328051e-06    9.03041825e-07    5.72289157e-08
26       2.00550000e-06    9.00000000e-02    0.00000000e+00    9.00000000e-02    8.55784469e-02    8.55513308e-03    5.42168675e-04   -5.17121408e-06    8.74853297e-07   -5.17121408e-06    8.55784469e-06    8.55513308e-07    5.42168675e-08
27       2.00600000e-06    8.00000000e-02    0.00000000e+00    8.00000000e-02    7.60697306e-02    7.60456274e-03    4.81927711e-04   -4.59663474e-06    7.77647375e-07   -4.59663474e-06    7.60697306e-06    7.60456274e-07    4.81927711e-08
28       2.00700000e-06    6.00000000e-02    0.00000000e+00    6.00000000e-02    5.70522979e-02    5.70342205e-03    3.61445783e-04   -3.44747605e-06    5.83235531e-07   -3.44747605e-06    5.70522979e-06    5.70342205e-07    3.61445783e-08
29       2.00900000e-06    2.00000000e-02    0.00000000e+00    2.00000000e-02    1.90174326e-02    1.90114068e-03    1.20481928e-04   -1.14915868e-06    1.94411844e-07   -1.14915868e-06    1.90174326e-06    1.90114068e-07    1.20481928e-08
30       2.01000000e-06    9.57567359e-16    0.00000000e+00    9.57567359e-16    9.19282576e-16    9.17043803e-17    5.85817235e-18   -4.43510068e-20    9.43078674e-21   -4.43510068e-20    9.19282576e-20    9.17043803e-21    5.85817235e-22
31       2.01040000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00   -1.97215226e-31    1.23259516e-32    0.00000000e+00   -1.98611526e-34    0.00000000e+00   -1.92592994e-34   -1.97215226e-35    1.23259516e-36    0.00000000e+00
32       2.01120000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.94430453e-31    0.00000000e+00    0.00000000e+00    1.92592994e-34    0.00000000e+00    5.77778983e-34    3.94430453e-35    0.00000000e+00    0.00000000e+00
33       2.01280000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00   -7.88860905e-31   -4.93038066e-32    0.00000000e+00   -5.29630735e-34    0.00000000e+00   -9.38890848e-34   -7.88860905e-35   -4.93038066e-36    0.00000000e+00
34       2.01600000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.88860905e-31    4.93038066e-32    0.00000000e+00    5.29630735e-34   -5.34552942e-51    9.38890848e-34    7.88860905e-35    4.93038066e-36    0.00000000e+00
35       2.02240000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00   -7.88860905e-31   -4.93038066e-32    0.00000000e+00   -5.29630735e-34    1.06910588e-50   -9.38890848e-34   -7.88860905e-35   -4.93038066e-36    0.00000000e+00
36       2.03520000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.88860905e-31    4.93038066e-32    0.00000000e+00    5.29630735e-34    0.00000000e+00    9.38890848e-34    7.88860905e-35    4.93038066e-36    0.00000000e+00
37       2.06080000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00   -7.88860905e-31   -4.93038066e-32    0.00000000e+00   -5.29630735e-34    5.34552942e-51   -9.38890848e-34   -7.88860905e-35   -4.93038066e-36    0.00000000e+00
38       2.11200000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.88860905e-31    4.93038066e-32    0.00000000e+00    5.29630735e-34    1.60365883e-50    9.38890848e-34    7.88860905e-35    4.93038066e-36    0.00000000e+00
39       2.21440000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00   -7.88860905e-31   -4.93038066e-32    0.00000000e+00   -5.29630735e-34   -2.13821177e-50   -9.38890848e-34   -7.88860905e-35   -4.93038066e-36    0.00000000e+00
40       2.41920000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.88860905e-31    4.93038066e-32    0.00000000e+00    5.29630735e-34    1.60365883e-50    9.38890848e-34    7.88860905e-35    4.93038066e-36    0.00000000e+00
41       2.82880000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00   -7.88860905e-31   -4.93038066e-32    0.00000000e+00   -5.29630735e-34   -1.60365883e-50   -9.38890848e-34   -7.88860905e-35   -4.93038066e-36    0.00000000e+00
42       3.62880000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.88860905e-31    4.93038066e-32    0.00000000e+00    5.29630735e-34    2.20999012e-50    9.38890848e-34    7.88860905e-35    4.93038066e-36    0.00000000e+00
43       4.42880000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00   -7.88860905e-31   -4.93038066e-32    0.00000000e+00   -5.29630735e-34   -2.30121387e-50   -9.38890848e-34   -7.88860905e-35   -4.93038066e-36    0.00000000e+00
44       5.22880000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.88860905e-31    4.93038066e-32    0.00000000e+00    5.29630735e-34    2.92353216e-50    9.38890848e-34    7.88860905e-35    4.93038066e-36    0.00000000e+00
45       6.02880000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00   -7.88860905e-31   -4.93038066e-32    0.00000000e+00   -5.29630735e-34   -3.02033505e-50   -9.38890848e-34   -7.88860905e-35   -4.93038066e-36    0.00000000e+00
46       6.82880000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.88860905e-31    4.93038066e-32    0.00000000e+00    5.29630735e-34    3.62629114e-50    9.38890848e-34    7.88860905e-35    4.93038066e-36    0.00000000e+00
47       7.62880000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00   -7.88860905e-31   -4.93038066e-32    0.00000000e+00   -5.29630735e-34   -3.74484776e-50   -9.38890848e-34   -7.88860905e-35   -4.93038066e-36    0.00000000e+00
48       8.00000000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.88860905e-31    4.93038066e-32    0.00000000e+00    5.29630735e-34    3.75431531e-50    9.38890848e-34    7.88860905e-35    4.93038066e-36    0.00000000e+00
End of Xyce(TM) Simulation
