Index       TIME             V(IN_1)           V(IN_2)           V(IN_3)          V(OUT_1)          V(OUT_2)          V(OUT_3)          I(VROW_1)         I(VROW_2)         I(VROW_3)        I(RLOAD_1)        I(RLOAD_2)        I(RLOAD_3)    
22       1.00100000e-06    1.00000000e-01    1.00000000e-01    1.00000000e-01    9.52606635e-02    4.17400602e-02    9.10714286e-02   -5.55505537e-06   -1.17769234e-05   -5.47523641e-06    9.52606635e-06    4.17400602e-06    9.10714286e-06
23       1.00100625e-06    9.93750000e-02    9.93750000e-02    9.93750000e-02    9.46652844e-02    4.14791848e-02    9.05022321e-02   -5.52033628e-06   -1.17033177e-05   -5.44101618e-06    9.46652844e-06    4.14791848e-06    9.05022321e-06
24       1.00101250e-06    9.87500000e-02    9.87500000e-02    9.87500000e-02    9.40699052e-02    4.12183094e-02    8.99330357e-02   -5.48561718e-06   -1.16297119e-05   -5.40679596e-06    9.40699052e-06    4.12183094e-06    8.99330357e-06
25       1.00102500e-06    9.75000000e-02    9.75000000e-02    9.75000000e-02    9.28791469e-02    4.06965587e-02    8.87946429e-02   -5.41617899e-06   -1.14825004e-05   -5.33835550e-06    9.28791469e-06    4.06965587e-06    8.87946429e-06
26       1.00105000e-06    9.50000000e-02    9.50000000e-02    9.50000000e-02    9.04976303e-02    3.96530572e-02    8.65178571e-02   -5.27730260e-06   -1.11880773e-05   -5.20147459e-06    9.04976303e-06    3.96530572e-06    8.65178571e-06
27       1.00110000e-06    9.00000000e-02    9.00000000e-02    9.00000000e-02    8.57345972e-02    3.75660541e-02    8.19642857e-02   -4.99954984e-06   -1.05992311e-05   -4.92771277e-06    8.57345972e-06    3.75660541e-06    8.19642857e-06
28       1.00120000e-06    8.00000000e-02    8.00000000e-02    8.00000000e-02    7.62085308e-02    3.33920481e-02    7.28571429e-02   -4.44404430e-06   -9.42153875e-06   -4.38018913e-06    7.62085308e-06    3.33920481e-06    7.28571429e-06
29       1.00140000e-06    6.00000000e-02    6.00000000e-02    6.00000000e-02    5.71563981e-02    2.50440361e-02    5.46428571e-02   -3.33303322e-06   -7.06615406e-06   -3.28514185e-06    5.71563981e-06    2.50440361e-06    5.46428571e-06
30       1.00180000e-06    2.00000000e-02    2.00000000e-02    2.00000000e-02    1.90521327e-02    8.34801203e-03    1.82142857e-02   -1.11101107e-06   -2.35538469e-06   -1.09504728e-06    1.90521327e-06    8.34801203e-07    1.82142857e-06
31       1.00200000e-06   -7.50788320e-15   -7.50788320e-15   -7.50788320e-15   -7.15396618e-15   -3.14304773e-15   -6.83054090e-15    4.21467573e-19    8.90305812e-19    3.87323690e-19   -7.15396618e-19   -3.14304773e-19   -6.83054090e-19
